iso3,year,forest_area_kha,forest_area_kha_decadal_change_pct,co2_per_gdp_kg_per_usd,co2_per_gdp_kg_per_usd_decadal_change_pct
ARG,2000,33378.0,,0.154,
ARG,2010,30214.0,-9.479297741027025,0.14,-9.090909090909083
ARG,2020,28573.0,-5.431257033163439,0.136,-2.857142857142858
BOL,2000,55101.39,,0.131,
BOL,2010,53086.01,-3.6575846816205515,0.176,34.35114503816792
BOL,2020,50833.76,-4.242643212401909,0.16,-9.090909090909083
BRA,2000,551088.6,,0.121,
BRA,2010,511580.7,-7.169065010599018,0.107,-11.570247933884293
BRA,2020,496619.6,-2.9244848368986665,0.107,0.0
CHL,2000,15817.06,,0.179,
CHL,2010,16725.26,5.741901465885557,0.165,-7.821229050279321
CHL,2020,18210.7,8.881416492180104,0.165,0.0
COL,2000,62735.5,,0.127,
COL,2010,60807.79,-3.072757848427121,0.09,-29.13385826771654
COL,2020,59141.91,-2.7395832014286303,0.087,-3.3333333333333326
ECU,2000,13730.5,,0.157,
ECU,2010,13028.19,-5.1149630384909495,0.185,17.834394904458595
ECU,2020,12497.83,-4.070864793958339,0.144,-22.16216216216217
GUY,2000,18564.22,,0.284,
GUY,2010,18519.81,-0.2392236248008217,0.238,-16.19718309859155
GUY,2020,18415.34,-0.564098659759471,0.176,-26.050420168067223
PER,2000,75297.83,,0.13,
PER,2010,74049.8,-1.6574581232951857,0.119,-8.461538461538465
PER,2020,72330.37,-2.3219914165872213,0.095,-20.168067226890752
PRY,2000,22991.65,,0.064,
PRY,2010,19570.21,-14.881228619955511,0.066,3.125
PRY,2020,16102.26,-17.72055588570587,0.073,10.606060606060597
SUR,2000,15340.87,,0.19,
SUR,2010,15299.86,-0.26732512562847033,0.139,-26.84210526315789
SUR,2020,15196.29,-0.6769342987452132,0.222,59.71223021582732
URY,2000,1369.0,,0.084,
URY,2010,1731.3,26.4645726807889,0.072,-14.285714285714302
URY,2020,2031.0,17.310691387974366,0.065,-9.72222222222221
VEN,2000,49151.0,,0.282,
VEN,2010,47505.0,-3.348863705723182,0.266,-5.673758865248213
VEN,2020,46230.9,-2.682033470161027,0.3,12.781954887218028
