iso3,year,forest_area_kha,forest_area_kha_decadal_change_pct,co2_per_gdp_kg_per_usd,co2_per_gdp_kg_per_usd_decadal_change_pct,agriculture_value_added_share_gdp_pct,hydro_electricity_share_pct,gdp_per_capita_ppp_const2017,agricultural_land_share_pct,urban_population_share_pct
ARG,2000,33378.0,,0.154,,,40.5105962199699,22281.3814299958,46.9581867146078,89.142
ARG,2010,30214.0,-9.479297741027024,0.14,-9.090909090909085,7.13,33.6309169543308,28056.2570212342,46.1389123357048,90.849
ARG,2020,28573.0,-5.431257033163439,0.136,-2.857142857142858,6.36,21.0892679568576,23877.0931404855,43.0004859885482,92.111
BOL,2000,55101.39,,0.131,,,50.1288659793814,6146.02929379703,34.2869011354195,61.787
BOL,2010,53086.01,-3.657584681620552,0.176,34.35114503816792,10.39,32.7136431784108,7571.67809247102,34.7723519800609,66.43
BOL,2020,50833.76,-4.242643212401909,0.16,-9.090909090909085,14.0,29.4848667067549,9000.97565203128,35.5645909720299,70.123
BRA,2000,551088.6,,0.121,,,87.2439884210828,14005.3471874231,27.3175012622426,81.192
BRA,2010,511580.7,-7.169065010599018,0.107,-11.570247933884293,4.12,78.2002780616351,18062.1581103659,27.7375349060916,84.335
BRA,2020,496619.6,-2.9244848368986665,0.107,0.0,5.71,63.0413000744317,17327.5157249466,28.3324758857832,87.073
CHL,2000,15817.06,,0.179,,,46.1999101751584,17525.2717273479,20.3219229300151,86.073
CHL,2010,16725.26,5.741901465885557,0.165,-7.821229050279321,3.62,35.9350696627726,24116.7694715614,19.7952795575712,87.074
CHL,2020,18210.7,8.881416492180104,0.165,0.0,4.04,26.0414558356053,26248.5616432825,14.9026289456383,87.727
COL,2000,62735.5,,0.127,,,74.3641464375971,10813.4942250011,40.4317260027039,73.957
COL,2010,60807.79,-3.072757848427121,0.09,-29.13385826771654,6.32,66.6364281119596,14037.0642668639,38.3082469580892,77.964
COL,2020,59141.91,-2.7395832014286303,0.087,-3.3333333333333326,7.47,62.8254283523363,15861.4999291295,39.8467278954484,81.425
ECU,2000,13730.5,,0.157,,,71.7206935544666,9183.05155276919,32.477049444355,60.299
ECU,2010,13028.19,-5.1149630384909495,0.185,17.834394904458595,9.73,44.2644797539723,11665.6978598204,30.1888387824126,62.69
ECU,2020,12497.83,-4.070864793958339,0.144,-22.16216216216217,9.84,77.8705837173579,12440.3263747814,21.8231599291351,64.166
GUY,2000,18564.22,,0.284,,,0.312883039803884,8025.29326490962,3.63360731521463,28.694
GUY,2010,18519.81,-0.2392236248008217,0.238,-16.19718309859155,28.53,0.0,10374.3947557656,3.65252730505461,26.634
GUY,2020,18415.34,-0.564098659759471,0.176,-26.050420168067223,16.85,0.000832202924361076,19234.1301977637,3.40532348204982,26.786
PER,2000,75297.83,,0.13,,,81.1891131867028,7669.0953178046,17.904590703125,73.042
PER,2010,74049.8,-1.6574581232951855,0.119,-8.461538461538465,6.83,55.8428531624408,12059.0180183322,18.644273125,76.43
PER,2020,72330.37,-2.3219914165872213,0.095,-20.168067226890752,7.7,57.7808515072854,13609.5999609595,19.125773046875,78.297
PRY,2000,22991.65,,0.064,,,100.0,9998.59285445016,41.8709622451548,55.331
PRY,2010,19570.21,-14.881228619955513,0.066,3.125,13.01,99.9981504087597,12738.5765601705,47.4473657186006,59.261
PRY,2020,16102.26,-17.72055588570587,0.073,10.606060606060597,10.73,99.9978435262659,14991.6606201094,52.7540030203876,62.183
SUR,2000,15340.87,,0.19,,,88.3959044368601,16220.1790603262,0.548260608951812,66.444
SUR,2010,15299.86,-0.2673251256284703,0.139,-26.84210526315789,10.12,70.1856148491879,22772.4754543689,0.48782733728326,66.344
SUR,2020,15196.29,-0.6769342987452132,0.222,59.71223021582732,8.14,47.9802955665025,19091.3617184226,0.498418735410739,66.149
URY,2000,1369.0,,0.084,,,92.9230363732209,18752.0578112966,85.4645183407611,92.028
URY,2010,1731.3,26.4645726807889,0.072,-14.285714285714302,7.2,78.2847564950182,24879.8350192618,82.4648611587247,94.414
URY,2020,2031.0,17.310691387974366,0.065,-9.72222222222221,6.57,30.1177336276674,27788.1854968153,80.3531025025711,95.515
VEN,2000,49151.0,,0.282,,,73.7484021531353,,24.5280879768721,87.559
VEN,2010,47505.0,-3.348863705723182,0.266,-5.673758865248213,5.38,67.4888148584387,,24.3750354288306,88.083
VEN,2020,46230.9,-2.682033470161027,0.3,12.781954887218028,,77.5856719085504,,24.3750354288306,88.279
