iso3,year,forest_area_kha,forest_area_kha_decadal_change_pct,co2_per_gdp_kg_per_usd,co2_per_gdp_kg_per_usd_decadal_change_pct,agriculture_value_added_share_gdp_pct,gdp_per_capita_ppp_const2017,agricultural_land_share_pct,urban_population_share_pct,hydro_electricity_share_pct,electricity_share_coal_pct,electricity_share_gas_pct,electricity_share_renewables_excl_hydro_pct,electrification_rate_pct,soy_area_kha,sugarcane_area_kha,pasture_area_kha,fertilizer_use_kg_per_ha,protected_areas_share_pct,control_of_corruption_est,rule_of_law_est,gini_index,rural_extreme_poverty_pct,methane_emissions_kt_co2eq,lulucf_forest_kt_co2eq,lulucf_total_kt_co2eq,terms_of_trade_index,renewable_electricity_share_pct,oil_rents_share_gdp_pct,gdp_constant_2015_usd,non_oil_gdp_constant_2015_usd,population_total,population_density,co2_total_kt,co2_per_capita_tons,delta_forest_kha,delta_co2_intensity_abs,delta_hydro_share_pct,delta_gdp_per_capita,delta_agri_share_pct,delta_forest_pct,lulucf_per_capita_t_co2eq,delta_lulucf_per_capita_t_co2eq,methane_total_kt_co2eq
ARG,2010,30214.0,-9.479297741027024,0.14,-9.090909090909085,7.13,28056.2570212342,46.1389123357048,90.849,33.6309169543308,2.0354719676229,44.4343927310241,-4.99743681307781,98.8,18130.8,275.315,87.26480000000001,771245.0,,-0.355230033397675,-0.59809422492981,0.4110000133514404,25.600000381469727,,,220311.8625,106.51586863731,28.633480141253,2.30522041977185,552738161802.463,539996328828.72107,41288694.0,15.0870920710786,,,-3164.0,-0.013999999999999985,-6.879679265639098,5774.8755912384,,-9.479297741027024,5.3358883790317995,4.248866543369163,
ARG,2020,28573.0,-5.431257033163439,0.136,-2.857142857142858,6.36,23877.0931404855,43.0004859885482,92.111,21.0892679568576,1.2996947212506,56.4028566858828,6.17318136617456,100.0,16710.793,443.573,74.681,1400381.0,,-0.163570061326027,-0.486265957355499,0.3939999938011169,33.0,,,59273.6981,97.35174347389,27.2624493230322,0.677055565819106,514874343768.066,511388358366.6097,45191965.0,16.5133665121004,,,-1641.0,-0.0040000000000000036,-12.5416489974732,-4179.1638807487,-0.7699999999999996,-5.431257033163434,1.3115981590975299,-4.02429021993427,
BOL,2010,53086.01,-3.657584681620552,0.176,34.35114503816792,10.39,7571.67809247102,34.7723519800609,66.43,32.7136431784108,0.0,64.0929535232384,1.66146926536732,88.0,1086.769,136.403,33.0,17962.0,,-0.458648711442947,-1.02979016304016,,,,,64553.6198,97.006977542713,34.3751124437781,2.81120414194023,25266542246.0612,24556248163.91485,10182345.0,9.39937690390474,,,-2015.3799999999974,0.044999999999999984,-17.415222800970604,1425.6487986739903,,-3.6575846816205493,6.339759632972561,-5.091652690938942,
BOL,2020,50833.76,-4.242643212401909,0.16,-9.090909090909085,14.0,9000.97565203128,35.5645909720299,70.123,29.4848667067549,0.0,61.2848266185608,6.4243335337743,97.2,1357.998,180.065,33.0,22573.0,,-0.844824612140656,-1.21863114833832,0.4490000009536743,32.29999923706055,,,66488.0438,83.175677718709,35.9092002405292,0.497346305966912,34855949803.3644,34682595024.60769,11816299.0,10.9076885442629,,,-2252.25,-0.015999999999999986,-3.228776471655898,1429.2975595602602,3.6099999999999994,-4.242643212401911,5.6268078355160105,-0.7129517974565509,
BRA,2010,511580.7,-7.169065010599018,0.107,-11.570247933884293,4.12,18062.1581103659,27.7375349060916,84.335,78.2002780616351,2.19850963617361,7.07273231429109,6.61611981858126,98.6,23327.296,9076.706,170.17720000000003,3091463.0,,0.0438063591718674,0.0564144365489483,,,,,1276784.9279999998,96.3292754619474,84.8163978802163,1.49436765608812,1703150236756.78,1677698910484.0984,193701929.0,23.175243415401,,,-39507.899999999965,-0.013999999999999999,-9.0437103594477,4056.810922942801,,-7.169065010599016,6.591493097624236,-8.600324936184421,
BRA,2020,496619.6,-2.9244848368986665,0.107,0.0,5.71,17327.5157249466,28.3324758857832,87.073,63.0413000744317,2.7894408712967,9.45982912507714,20.1348423255784,99.7,37191.638,9996.134,173.36079999999998,5910866.0,,-0.429083496332169,-0.231919765472412,0.5189999938011169,18.39999961853028,,,687373.0338,99.999875175233,83.1761424000102,1.07872778605369,1760056587795.46,1741070368332.6418,208660842.0,24.9649852718428,,,-14961.100000000035,0.0,-15.1589779872034,-734.6423854193017,1.5899999999999999,-2.9244848368986625,3.2942119240561674,-3.2972811735680683,
CHL,2010,16725.26,5.741901465885557,0.165,-7.821229050279321,3.62,24116.7694715614,19.7952795575712,87.074,35.9350696627726,27.9081311844326,17.6887182711719,4.82675315219909,99.5,0.0,,12.892422000000002,258569.0,,1.44162690639496,1.22541570663452,,,,,-97622.3046,98.541674140225,40.7618228149717,0.0177167005915164,200151851762.225,200116391457.91992,17181464.0,23.107901206673,,,908.1999999999989,-0.013999999999999985,-10.264840512385803,6591.497744213502,,5.7419014658855625,-5.6818385557831395,0.19689723746792698,
CHL,2020,18210.7,8.881416492180104,0.165,0.0,4.04,26248.5616432825,14.9026289456383,87.727,26.0414558356053,31.0383008107818,18.2062790946865,22.7416094198326,100.0,0.0,,9.157163,247936.0,,1.10613715648651,0.930162131786346,0.4880000054836273,13.899999618530272,,,5279.5063,102.926031839772,48.783065255438,0.0073483419512708,245600606668.884,245582559096.4716,19370624.0,26.0767352343796,,,1485.4400000000023,0.0,-9.893613827167297,2131.7921717210993,0.41999999999999993,8.881416492180106,0.2725522058556296,5.954390761638769,
COL,2010,60807.79,-3.072757848427121,0.09,-29.13385826771654,6.32,14037.0642668639,38.3082469580892,77.964,66.6364281119596,6.75419353774596,19.7430272641805,1.90202708274918,96.8,31.604,348.531,39.15,404440.0,,-0.42333310842514,-0.271385610103607,0.5550000071525574,39.29999923706055,,,48815.3182,81.9880269434528,68.5384551947088,4.39207978728564,233479933032.173,223225308086.09888,44777319.0,40.3581063542136,,,-1927.7099999999991,-0.037000000000000005,-7.727718325637497,3223.5700418627985,,-3.072757848427125,1.090179566132577,-2.4464264306951486,
COL,2020,59141.91,-2.7395832014286303,0.087,-3.3333333333333326,7.47,15861.4999291295,39.8467278954484,81.425,62.8254283523363,11.8128449131982,19.0938918151077,2.45172158040956,99.7,46.393,407.583,39.504278,528009.0,,-0.252498596906662,-0.491402626037598,0.5519999861717224,38.400001525878906,,,72130.122,83.2326464097242,65.2771499327459,1.56279790261714,298309675728.093,293647698372.5104,50629997.0,45.6331653898152,,,-1665.8799999999974,-0.0030000000000000027,-3.8109997596233,1824.4356622656014,1.1499999999999995,-2.739583201428628,1.424651911395531,0.3344723452629539,
